Divorce_date;DOB_partner_man;Age_partner_man;Monthly_income_partner_man_peso;DOB_partner_woman;Age_partner_woman;Monthly_income_partner_woman_peso;Date_of_marriage;Marriage_duration;Season;Zodiac_man;Zodiac_woman;Level_of_education_partner_woman;Level_of_education_partner_man;Employment_status_partner_woman;Employment_status_partner_man;Age_Gap;Year_divorce;Month_divorce;Compatibility_rate
01/02/2011;13/11/1979;31;12000.0;13/05/1981;29;12000.0;13/05/2006;2;Winter;Scorpio;Taurus;MIDDLE SCHOOL    ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;2;2011;2;0.88
02/04/2014;05/11/1983;30;2000.0;28/04/1988;25;6000.0;31/01/2012;2;Spring;Scorpio;Taurus;HIGH SCHOOL      ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;5;2014;4;0.88
04/04/2012;23/10/2071;40;14000.0;07/05/1984;27;15000.0;20/01/2007;5;Spring;Scorpio;Taurus;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;13;2012;4;0.88
05/11/2007;04/11/1974;32;6000.0;03/05/1975;32;4000.0;19/12/1997;10;Autumn;Scorpio;Taurus;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;0;2007;11;0.88
06/11/2001;27/10/2068;33;5000.0;28/04/1977;24;4000.0;07/01/1998;3;Autumn;Scorpio;Taurus;HIGH SCHOOL      ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;9;2001;11;0.88
07/05/2002;25/10/2071;30;2000.0;13/05/1977;24;1200.0;10/11/1998;3;Spring;Scorpio;Taurus;MIDDLE SCHOOL    ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;6;2002;5;0.88
13/09/2005;01/11/2072;32;12000.0;21/04/1979;26;6000.0;21/08/2004;1;Summer;Scorpio;Taurus;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;6;2005;9;0.88
14/10/2002;04/11/2060;41;10000.0;19/05/2062;40;4000.0;22/06/1985;17;Autumn;Scorpio;Taurus;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2002;10;0.88
15/04/2003;14/11/2071;31;6000.0;01/05/1975;27;3000.0;04/02/2001;2;Spring;Scorpio;Taurus;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;4;2003;4;0.88
16/04/2001;04/11/2051;49;3000.0;18/05/2047;53;6500.0;25/08/1987;13;Spring;Scorpio;Taurus;HIGH SCHOOL      ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;4;2001;4;0.88
18/12/2013;01/11/1982;31;6000.0;16/05/1984;29;6000.0;10/12/2010;2;Autumn;Scorpio;Taurus;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;2;2013;12;0.88
19/01/2005;01/11/2067;37;10000.0;26/04/2066;38;3000.0;03/01/2004;1;Winter;Scorpio;Taurus;COLLEGE          ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;1;2005;1;0.88
20/01/2006;04/11/2071;34;8000.0;17/05/1973;32;6000.0;22/12/1993;12;Winter;Scorpio;Taurus;MIDDLE SCHOOL    ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;2;2006;1;0.88
21/06/2000;16/11/2060;39;2000.0;30/04/2063;37;2000.0;16/11/1985;2;Summer;Scorpio;Taurus;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;2;2000;6;0.88
21/12/2012;14/11/1978;34;10000.0;10/05/1978;34;6500.0;05/03/2005;5;Winter;Scorpio;Taurus;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;0;2012;12;0.88
26/11/2007;04/11/2070;37;10000.0;18/05/2070;37;10000.0;11/03/1995;12;Autumn;Scorpio;Taurus;HIGH SCHOOL      ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;0;2007;11;0.88
27/11/2007;18/11/1981;25;7000.0;09/05/1977;30;11000.0;17/02/2006;1;Autumn;Scorpio;Taurus;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;5;2007;11;0.88
27/12/2012;18/11/2060;52;1000.0;09/05/1979;33;6000.0;26/04/2003;9;Winter;Scorpio;Taurus;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;19;2012;12;0.88
29/05/2001;12/11/2062;38;4000.0;27/04/2064;37;6000.0;22/11/1985;15;Spring;Scorpio;Taurus;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2001;5;0.88
02/07/2009;31/05/2069;40;3000.0;09/10/1977;31;2000.0;20/03/1996;10;Summer;Gemini;Libra;HIGH SCHOOL      ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;9;2009;7;0.93
04/11/2009;20/06/2072;37;5000.0;23/09/1976;33;5000.0;07/07/2006;3;Autumn;Gemini;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;4;2009;11;0.93
08/02/2001;07/06/2062;38;1600.0;16/10/2057;43;2000.0;16/12/1986;14;Winter;Gemini;Libra;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;5;2001;2;0.93
09/09/2004;09/06/2060;44;8000.0;04/10/2062;41;5000.0;20/04/1989;14;Summer;Gemini;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;3;2004;9;0.93
11/07/2001;23/05/1973;28;5000.0;25/09/1973;27;3000.0;11/12/1999;1;Summer;Gemini;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2001;7;0.93
12/10/2012;24/05/1974;38;6000.0;28/09/2072;40;6000.0;06/05/2005;7;Autumn;Gemini;Libra;HIGH SCHOOL      ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;2;2012;10;0.93
14/10/2011;23/05/1980;31;2280.0;09/10/1976;35;6000.0;17/12/2004;3;Autumn;Gemini;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;4;2011;10;0.93
15/06/2004;15/06/2072;32;8000.0;07/10/2070;33;8000.0;29/01/1999;5;Spring;Gemini;Libra;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;1;2004;6;0.93
18/10/2002;09/06/2064;38;2000.0;26/09/2066;36;2000.0;27/12/1984;17;Autumn;Gemini;Libra;HIGH SCHOOL      ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;2;2002;10;0.93
20/10/2005;03/06/2066;39;3000.0;20/10/2066;39;2500.0;04/09/1985;20;Autumn;Gemini;Libra;HIGH SCHOOL      ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;0;2005;10;0.93
21/05/2008;21/05/1977;30;4000.0;15/10/1982;25;4500.0;11/02/2005;3;Spring;Gemini;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;5;2008;5;0.93
21/09/2012;31/05/1984;28;5000.0;07/10/1989;22;5000.0;07/12/2009;2;Autumn;Gemini;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;6;2012;9;0.93
22/04/2010;21/05/2065;44;6500.0;01/10/2065;44;8500.0;22/02/1990;20;Spring;Gemini;Libra;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;0;2010;4;0.93
22/11/2010;06/06/1977;33;4000.0;29/09/2070;40;5000.0;09/12/1998;12;Autumn;Gemini;Libra;;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;7;2010;11;0.93
26/12/2001;15/06/2069;32;4600.0;16/10/1977;24;1600.0;06/11/1992;9;Winter;Gemini;Libra;MIDDLE SCHOOL    ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;8;2001;12;0.93
28/01/2003;24/05/2052;50;4000.0;25/09/2050;52;3000.0;07/01/1977;25;Winter;Gemini;Libra;MIDDLE SCHOOL    ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;2;2003;1;0.93
04/03/2011;26/04/1981;29;7000.0;24/09/1982;28;3800.0;09/05/2000;10;Winter;Taurus;Libra;MIDDLE SCHOOL    ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;1;2011;3;0.65
04/10/2012;05/05/2069;43;9000.0;06/10/2067;44;10000.0;18/12/1992;19;Autumn;Taurus;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2012;10;0.65
06/06/2013;21/04/2057;56;10000.0;28/09/2065;47;10000.0;21/01/2005;7;Spring;Taurus;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;9;2013;6;0.65
07/12/2006;15/05/1973;33;5000.0;25/09/1976;30;7000.0;19/12/1998;8;Autumn;Taurus;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;3;2006;12;0.65
11/11/2003;06/05/1975;28;3000.0;16/10/1975;28;2000.0;19/08/1994;9;Autumn;Taurus;Libra;MIDDLE SCHOOL    ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;0;2003;11;0.65
14/02/2013;28/04/2066;46;8000.0;22/10/2067;45;4000.0;13/11/1982;31;Winter;Taurus;Libra;ELEMENTARY SCHOOL;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;1;2013;2;0.65
14/08/2007;28/04/1974;33;8000.0;27/09/1977;29;10000.0;11/08/2000;7;Summer;Taurus;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;4;2007;8;0.65
15/05/2009;19/05/2058;50;3000.0;19/10/2063;45;4000.0;25/04/1988;21;Spring;Taurus;Libra;COLLEGE          ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;5;2009;5;0.65
16/05/2005;23/04/1976;29;2500.0;26/09/1979;25;5000.0;19/09/1998;6;Spring;Taurus;Libra;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;4;2005;5;0.65
19/03/2010;14/05/1973;36;4500.0;08/10/1975;34;4500.0;15/08/2008;1;Winter;Taurus;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;2;2010;3;0.65
23/02/2010;28/04/1975;34;6000.0;18/10/1976;33;10000.0;26/04/2007;1;Winter;Taurus;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2010;2;0.65
29/10/2003;18/05/2050;53;15000.0;30/09/2054;49;7000.0;21/11/1979;23;Autumn;Taurus;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;4;2003;10;0.65
03/06/2014;15/04/1974;40;6000.0;13/02/1973;41;10000.0;17/02/2006;9;Spring;Aries;Aquarius;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;1;2014;6;0.78
04/07/2008;17/04/2050;58;5000.0;31/01/2060;48;4000.0;25/09/1978;2;Summer;Aries;Aquarius;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;10;2008;7;0.78
04/07/2011;08/04/1979;32;3600.0;05/02/1976;35;3400.0;18/07/1997;13;Summer;Aries;Aquarius;ELEMENTARY SCHOOL;WITHOUT EDUCATION;EMPLOYED  ;EMPLOYED  ;3;2011;7;0.78
08/10/2012;11/04/2070;42;5000.0;27/01/1976;36;5000.0;15/11/1994;16;Autumn;Aries;Aquarius;COLLEGE          ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;6;2012;10;0.78
09/10/2009;07/04/1979;30;5000.0;24/01/1981;28;4500.0;10/04/1997;2;Autumn;Aries;Aquarius;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;2;2009;10;0.78
16/05/2003;25/03/2063;40;1800.0;06/02/1977;26;3100.0;12/11/1992;10;Spring;Aries;Aquarius;HIGH SCHOOL      ;ELEMENTARY SCHOOL;EMPLOYED  ;EMPLOYED  ;14;2003;5;0.78
18/11/2011;17/04/1975;36;9000.0;23/01/1979;32;5000.0;17/07/2010;1;Autumn;Aries;Aquarius;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;4;2011;11;0.78
19/02/2009;22/03/1974;34;1600.0;07/02/1977;32;4000.0;10/03/2000;8;Winter;Aries;Aquarius;COLLEGE          ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;2;2009;2;0.78
19/03/2010;04/04/1976;33;10000.0;16/02/1976;34;10000.0;22/07/2000;9;Winter;Aries;Aquarius;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2010;3;0.78
21/11/2000;21/03/2065;35;700.0;25/01/1978;22;1900.0;03/06/1993;7;Autumn;Aries;Aquarius;MIDDLE SCHOOL    ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;13;2000;11;0.78
22/05/2000;26/03/2070;30;2200.0;03/02/1974;26;1200.0;10/11/1994;5;Spring;Aries;Aquarius;MIDDLE SCHOOL    ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;4;2000;5;0.78
25/03/2011;18/04/2045;65;6000.0;30/01/2045;66;6000.0;25/01/1969;41;Spring;Aries;Aquarius;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2011;3;0.78
26/10/2011;12/04/1974;37;8000.0;04/02/1975;36;6000.0;16/07/1994;17;Autumn;Aries;Aquarius;MIDDLE SCHOOL    ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;1;2011;10;0.78
02/04/2007;17/10/2051;55;12000.0;20/10/2057;49;14000.0;23/12/1989;14;Spring;Libra;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;6;2007;4;0.75
02/10/2014;29/09/1986;28;7000.0;30/09/1988;26;7000.0;27/09/2012;2;Autumn;Libra;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;2;2014;10;0.75
04/03/2004;30/09/2067;36;17000.0;19/10/2067;36;5000.0;03/09/1990;13;Winter;Libra;Libra;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;0;2004;3;0.75
07/01/2009;11/10/2059;49;10500.0;29/09/2061;47;4500.0;24/04/1982;24;Winter;Libra;Libra;;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;2;2009;1;0.75
07/01/2011;24/09/2070;40;7000.0;24/09/1973;37;10000.0;07/12/2002;8;Winter;Libra;Libra;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;3;2011;1;0.75
09/06/2009;25/09/2068;40;2400.0;19/10/1973;35;3600.0;10/06/1990;19;Spring;Libra;Libra;HIGH SCHOOL      ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;5;2009;6;0.75
09/07/2008;12/10/1974;33;10000.0;13/10/1974;33;6000.0;15/12/2000;8;Summer;Libra;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;0;2008;7;0.75
11/07/2011;01/10/2072;38;5000.0;11/10/1973;37;8000.0;31/10/2000;11;Summer;Libra;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2011;7;0.75
11/12/2006;25/09/1982;24;4400.0;10/10/1983;23;4000.0;25/02/2005;1;Autumn;Libra;Libra;HIGH SCHOOL      ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2006;12;0.75
14/04/2004;25/09/1975;28;6000.0;26/09/1977;26;3500.0;27/10/1997;6;Spring;Libra;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;2;2004;4;0.75
14/09/2005;20/10/2070;34;3000.0;28/09/2065;39;3000.0;26/11/1993;12;Summer;Libra;Libra;HIGH SCHOOL      ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;5;2005;9;0.75
14/10/2003;20/10/1980;22;3500.0;20/10/1980;22;4000.0;19/10/2000;2;Autumn;Libra;Libra;HIGH SCHOOL      ;ELEMENTARY SCHOOL;EMPLOYED  ;EMPLOYED  ;0;2003;10;0.75
15/02/2012;12/10/2066;45;6000.0;14/10/2063;48;15000.0;23/12/1991;20;Winter;Libra;Libra;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;3;2012;2;0.75
15/11/2000;24/09/2056;44;1400.0;03/10/2061;39;1600.0;22/08/1977;23;Autumn;Libra;Libra;ELEMENTARY SCHOOL;ELEMENTARY SCHOOL;EMPLOYED  ;EMPLOYED  ;5;2000;11;0.75
17/07/2009;08/10/2069;39;8000.0;08/10/2069;39;15000.0;07/12/1990;11;Summer;Libra;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;0;2009;7;0.75
18/05/2009;29/09/1976;32;4000.0;04/10/1973;35;4000.0;30/12/1996;12;Spring;Libra;Libra;MIDDLE SCHOOL    ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;3;2009;5;0.75
19/03/2008;01/10/2059;48;10000.0;13/10/2059;48;5000.0;23/05/1983;25;Winter;Libra;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;0;2008;3;0.75
24/01/2011;20/10/2060;50;9800.0;13/10/2061;49;4500.0;19/12/1992;16;Winter;Libra;Libra;HIGH SCHOOL      ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2011;1;0.75
28/10/2009;01/10/1973;36;3800.0;21/10/2072;37;1070.0;10/10/1992;17;Autumn;Libra;Libra;HIGH SCHOOL      ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2009;10;0.75
29/07/2011;08/10/1973;37;6000.0;26/09/2059;51;3900.0;01/10/2009;1;Summer;Libra;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;14;2011;7;0.75
30/05/2003;12/10/2061;41;15000.0;16/10/2061;41;6000.0;20/01/1989;14;Spring;Libra;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;0;2003;5;0.75
30/07/2013;25/09/1975;37;9000.0;16/10/1979;33;5000.0;31/03/2012;1;Summer;Libra;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;4;2013;7;0.75
30/12/2002;17/10/2063;39;2400.0;27/09/2066;36;3000.0;09/09/1983;19;Winter;Libra;Libra;HIGH SCHOOL      ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;3;2002;12;0.75
02/03/2004;08/12/1979;24;4000.0;10/10/1983;20;2000.0;24/01/2000;3;Winter;Sagittarius;Libra;MIDDLE SCHOOL    ;HIGH SCHOOL      ;UNEMPLOYED;EMPLOYED  ;4;2004;3;0.73
02/03/2006;17/12/1975;30;3000.0;09/10/2071;34;5000.0;13/04/2002;3;Winter;Sagittarius;Libra;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;4;2006;3;0.73
02/04/2003;15/12/1974;28;8000.0;23/09/1975;27;4000.0;14/03/2000;2;Spring;Sagittarius;Libra;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;1;2003;4;0.73
10/09/2001;17/12/2052;48;4000.0;18/10/2053;47;10000.0;05/07/1980;21;Summer;Sagittarius;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2001;9;0.73
11/10/2001;18/12/2069;31;8000.0;26/09/2069;32;4000.0;02/05/1997;4;Autumn;Sagittarius;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2001;10;0.73
12/05/2011;22/11/1973;37;4800.0;08/10/1973;37;2000.0;20/04/1996;14;Spring;Sagittarius;Libra;HIGH SCHOOL      ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;0;2011;5;0.73
14/03/2002;26/11/2071;30;5000.0;25/09/1973;28;8000.0;27/03/1999;2;Winter;Sagittarius;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;2;2002;3;0.73
14/12/2010;05/12/1984;25;10000.0;08/10/1985;25;12000.0;27/09/2008;2;Autumn;Sagittarius;Libra;HIGH SCHOOL      ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;0;2010;12;0.73
17/12/2014;15/12/1973;41;2000.0;05/10/1984;30;3500.0;08/10/2011;3;Autumn;Sagittarius;Libra;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;11;2014;12;0.73
18/06/2007;30/11/1978;28;8000.0;08/10/1978;28;8000.0;07/09/1998;8;Spring;Sagittarius;Libra;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;0;2007;6;0.73
20/12/2000;12/12/1973;27;700.0;19/10/1977;23;2500.0;01/03/1995;5;Autumn;Sagittarius;Libra;COLLEGE          ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;4;2000;12;0.73
22/11/2002;11/12/1975;26;2500.0;22/10/1980;22;4000.0;06/11/2001;1;Autumn;Sagittarius;Libra;HIGH SCHOOL      ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;4;2002;11;0.73
27/10/2008;27/11/1985;22;4000.0;01/10/1983;25;2000.0;06/02/2006;2;Autumn;Sagittarius;Libra;HIGH SCHOOL      ;ELEMENTARY SCHOOL;EMPLOYED  ;EMPLOYED  ;3;2008;10;0.73
29/12/2008;16/12/2051;57;4500.0;19/10/2058;50;5000.0;18/05/1977;31;Winter;Sagittarius;Libra;MIDDLE SCHOOL    ;ELEMENTARY SCHOOL;EMPLOYED  ;EMPLOYED  ;7;2008;12;0.73
30/07/2001;16/12/2070;30;2600.0;28/09/2070;30;2200.0;31/08/1996;4;Summer;Sagittarius;Libra;HIGH SCHOOL      ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;0;2001;7;0.73
01/10/2008;15/10/2062;45;7000.0;24/08/2069;39;7000.0;08/01/1990;17;Autumn;Libra;Virgo;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;6;2008;10;0.68
02/06/2010;06/10/2072;37;4000.0;31/08/1977;32;5000.0;03/04/1998;12;Spring;Libra;Virgo;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;5;2010;6;0.68
07/11/2012;10/10/1975;37;8000.0;14/09/1975;37;8000.0;26/04/2000;12;Autumn;Libra;Virgo;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;0;2012;11;0.68
08/02/2001;26/09/2057;43;2400.0;14/09/2060;40;3600.0;24/07/1982;18;Winter;Libra;Virgo;HIGH SCHOOL      ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;3;2001;2;0.68
09/07/2003;29/09/2070;32;3000.0;29/08/2070;32;2500.0;21/12/1995;7;Summer;Libra;Virgo;HIGH SCHOOL      ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;0;2003;7;0.68
10/02/2012;30/09/1984;27;4000.0;09/09/1982;29;4000.0;09/12/2005;5;Winter;Libra;Virgo;HIGH SCHOOL      ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;2;2012;2;0.68
10/08/2012;23/09/1989;22;4000.0;15/09/1989;22;3500.0;12/12/2008;3;Summer;Libra;Virgo;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;0;2012;8;0.68
15/04/2004;29/09/2069;34;1700.0;27/08/2069;34;7000.0;02/07/1991;12;Spring;Libra;Virgo;COLLEGE          ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;0;2004;4;0.68
16/08/2011;18/10/2058;52;5000.0;07/09/2068;42;5000.0;11/05/1989;22;Summer;Libra;Virgo;HIGH SCHOOL      ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;10;2011;8;0.68
17/11/2010;08/10/2063;47;6000.0;30/08/2068;42;1800.0;15/04/1989;16;Autumn;Libra;Virgo;HIGH SCHOOL      ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;5;2010;11;0.68
02/10/2009;26/11/2068;40;6000.0;04/02/1975;34;3000.0;29/04/1999;9;Autumn;Sagittarius;Aquarius;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;6;2009;10;0.9
03/03/2011;01/12/1973;37;4000.0;03/02/1977;34;3000.0;17/06/1991;19;Winter;Sagittarius;Aquarius;MIDDLE SCHOOL    ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;3;2011;3;0.9
06/03/2012;01/12/2072;39;4000.0;07/02/1983;29;1500.0;23/01/2002;8;Winter;Sagittarius;Aquarius;COLLEGE          ;ELEMENTARY SCHOOL;EMPLOYED  ;EMPLOYED  ;10;2012;3;0.9
06/04/2010;30/11/2036;73;3800.0;27/01/2056;54;4550.0;08/12/2000;2;Spring;Sagittarius;Aquarius;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;19;2010;4;0.9
06/11/2000;07/12/2072;27;2500.0;20/01/1973;27;3800.0;13/06/1994;6;Autumn;Sagittarius;Aquarius;MIDDLE SCHOOL    ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;0;2000;11;0.9
10/11/2009;19/12/1981;27;4000.0;08/02/1979;30;3000.0;13/02/2007;2;Autumn;Sagittarius;Aquarius;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;3;2009;11;0.9
13/02/2002;01/12/2060;41;3000.0;31/01/2061;41;3000.0;18/01/1986;16;Winter;Sagittarius;Aquarius;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;0;2002;2;0.9
13/12/2012;10/12/1975;37;9500.0;11/02/1976;36;8500.0;09/05/2003;9;Autumn;Sagittarius;Aquarius;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2012;12;0.9
15/08/2006;19/12/2053;52;6000.0;10/02/2057;49;10000.0;13/08/1993;13;Summer;Sagittarius;Aquarius;COLLEGE          ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;3;2006;8;0.9
19/03/2004;09/12/2069;34;10500.0;16/02/2072;32;4200.0;20/03/1993;9;Winter;Sagittarius;Aquarius;HIGH SCHOOL      ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;2;2004;3;0.9
22/06/2006;13/12/2053;52;16000.0;15/02/2051;55;7000.0;20/02/1980;26;Summer;Sagittarius;Aquarius;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;3;2006;6;0.9
22/09/2000;27/11/2066;33;1200.0;22/01/2068;32;1300.0;09/11/1988;11;Autumn;Sagittarius;Aquarius;HIGH SCHOOL      ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;1;2000;9;0.9
26/09/2008;20/12/2060;47;5000.0;16/02/2061;47;7000.0;18/11/1988;20;Autumn;Sagittarius;Aquarius;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;0;2008;9;0.9
30/03/2015;30/11/1985;29;8200.0;14/02/1985;30;11000.0;07/12/2012;2;Spring;Sagittarius;Aquarius;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2015;3;0.9
30/11/2004;17/12/2061;42;4000.0;10/02/2065;39;1000.0;30/08/1981;23;Autumn;Sagittarius;Aquarius;MIDDLE SCHOOL    ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;3;2004;11;0.9
